"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AMES","3265W","The Fantastic in East Asia: Ghosts, Foxes, and the Alien","Twin Cities","How the strange/alien is constructed in premodern Chinese/Japanese literature. East Asian theories of the strange and their role in the classical tale, through the works of Pu Songling, Edo-era storytellers, and others. Role of Buddhist cosmology and salvation.

prereq: Some coursework in East Asia recommended","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","3336","Revolution and Modernity in Chinese Literature and Culture","Twin Cities","Introduction to modern Chinese literature, visual culture, and critical thought from beginning of 20th century to end of Mao era. Examples of literature/culture, parallel readings of Chinese critical essays. Readings are in English translation.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3337","Contemporary Chinese Literature and Popular Culture","Twin Cities","Contemporary Chinese literature, popular culture. End of Mao era to present. Creative results of China's ""opening and reform."" Commercialization and globalization of culture. Literature, visual culture, and popular music.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3436","Postwar Japanese Literature in Translation","Twin Cities","This is an introductory survey of modern Japanese literature and its role in the postwar  debates around Japanese culture, aesthetics, politics, and environment. Beginning with the occupation of Japan by the US military and ending with the 2020 Tokyo Olympics (postponed by a global pandemic), students will analyze the main movements in postwar Japanese literary production and the core issues featured in this literature. We will explore national genres in Japan, their premodern precursors, and postmodern manifestations. The course has no prerequisite and assumes no prior knowledge of Japanese cultures or experience with literary analysis. All materials, lectures, and discussions are in English.
","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","3437","The Japanese Novel","Twin Cities","Survey of the principal authors of the period spanning Japan's opening to the West (1860s) to World War II. Writers include Natsume Soseki, Shiga Naoya, Kawabata Yasunari, Edogawa Rampo, Hayashi Fumiko, and Tanizaki Junichiro.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3536","Modern Korean Literature","Twin Cities","Modern Korean literature in English translation from the colonial period until the 1990s. Read literary texts critically, using genre categories, theories of narrative voice, different understandings of modern literary subjectivity, and historical contextualization. ","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AMES","3637W","Modern Indian Literature","Twin Cities","Survey of 20th century literature from South Asian countries, including India, Pakistan, and Sri Lanka. All readings in English. Focuses on colonialism, post-colonialism, power, and representation.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall & Spring"
"AMES","3832","The Politics of Arabic Poetry","Twin Cities","This course engages with Arabic poetry in its socio-political context. How have Arab poets from the
pre-Islamic era till the present time used their verse as a tool to affirm the structure of their society, or to
struggle with it? What roles did Arabic poetry play at the Abbasid imperial courts? How does Arabic
poetry participate in the constitution and promulgation or subversion of political ideologies? And what
presence has it had in Arab peoples' struggles for independence or reform, historically and today as part
of the Arab Spring?","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3833","Jinn, Ghosts, and Demons in Arabic Literature","Twin Cities","Jinn, also known as genies, are supernatural beings intrinsic to Islamic cosmology and culture: neither human nor divine, of our world but (usually) invisible to us. This course traces the trope of the jinni in Arabic literature: from the place of jinn in the Quran and Islamic tradition, through their role in the composition of the greatest poetry, to their reincarnation in modern works of literature. Following a survey of classic texts and contexts, we will ask why modern authors summon demons and resurrect ghosts, and what political and cultural work these unruly beings are called to perform. More specifically, we will explore the manner in which jinn are latched onto modern debates on personal and collective trauma, memory, madness, relations between East and West (or North and South), political and state violence, gender relations and hierarchies, and virtual realities.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMES","3837","Hebrew Literature: Settlement and Ideology","Twin Cities","An introductory survey of Modern Hebrew Literature and its journey from Eastern Europe through Ottoman/British Palestine to the State of Israel. The class centers on the manner in which Hebrew literature has envisioned the Middle East or “the Orient,” reflecting, manipulating, or challenging orientalist paradigms. The first part of the course focuses on Hebrew literature written by Eastern European writers, their fantasies of the East as well as their engagements with orientalist or anti-Semite prejudices. The second part examines Hebrew literature’s attempts to “nativize” in Palestine. Finally, we will read a series of texts by Ashkenazi, Mizrahi, and Palestinian Israeli writers that complicate any attempt to position Hebrew within an Orient/Occident dichotomy. No prior familiarity with Hebrew literature is necessary. All texts will be read in English.","3","3","No","1","3","A-F - A-F Grade Basis","-","Periodic Fall & Spring"
"AMIN","3201W","American Indian Literature","Twin Cities","Comparative studies of oral traditions, modern literature from various tribal cultures.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall & Spring"
"CHLS","3507W","Identity, Displacement, Resistance in Chicano Literature","Twin Cities","What is Chicano literature, and how is it similar or different from other American literatures? We will journey through the world of Chicano novels, short stories, creative non-fiction, drama, essays, poetry, graphic writings, and other hybrid forms of literature to understand the cultural, intellectual, and sociopolitical traditions of the Mexican American in the United States.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CI","1424","Global Stories of Education: Literature for Young Adults","Twin Cities","Using young adult novels, short stories, nonfiction, and poems by immigrant, indigenous, minority, and refugee authors, students explore learning experiences of youth. Through immersion in the global lives and identities of characters who cross geographic and cultural borders, students consider what stories teach and how young people learn.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Summer"
"CNRC","1201","The Bible: Context and Interpretation, World of the Hebrew Bible.","Twin Cities","The Hebrew Bible and Old Testament are literary collections that modern Jewish and Christian traditions maintain as important, but these collections were initially produced by ancient Israelite scribes who composed and/or compiled the biblical texts at particular time periods in the ancient Near East. This course will introduce the academic study of biblical texts, which demands critical analysis of the literature and an openness to reading the literature from the perspective of ancient Israelite writers (who lived in a world far different from today). The course will spend considerable time on the literary (and scribal) composition of biblical prose texts; time will also be spent on the historical circumstances of biblical prophets and other writers of the biblical texts. This course will only address the ancient setting of the biblical texts and not re-interpretations in Jewish or Christian traditions. Given the scope of the course, modern interpretations of the biblical literature will not be discussed; we will only focus on this literature in its ancient setting.

prereq: Knowledge of Hebrew not required","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"CNRC","3081W","Classical Epic in Translation","Twin Cities","Homer's Iliad and Odyssey, Virgil's Aeneid. Cultural context of epic. Development of the hero. Epic style. Poetics of epic.","3","3","No","1","3","OPT - Student Option","-","Fall Odd, Spring Even Year"
"CNRC","3082W","Greek Tragedy in Translation","Twin Cities","Origins of tragedy. Ancient theatres. Selected plays of Aeschylus, Sophocles, Euripides.","3","3","No","1","3","OPT - Student Option","-","Fall Even, Spring Odd Year"
"CNRC","3201","The Bible: Context and Interpretation, World of the Hebrew Bible","Twin Cities","The Hebrew Bible and Old Testament are literary collections that modern Jewish and Christian traditions maintain as important, but these collections were initially produced by ancient Israelite scribes who composed and/or compiled the biblical texts at particular time periods in the ancient Near East. This course will introduce the academic study of biblical texts, which demands critical analysis of the literature and an openness to reading the literature from the perspective of ancient Israelite writers (who lived in a world far different from today). The course will spend considerable time on the literary (and scribal) composition of biblical prose texts; time will also be spent on the historical circumstances of biblical prophets and other writers of the biblical texts. This course will only address the ancient setting of the biblical texts and not re-interpretations in Jewish or Christian traditions. Given the scope of the course, modern interpretations of the biblical literature will not be discussed; we will only focus on this literature in its ancient setting.

prereq: Knowledge of Hebrew not required","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"CNRC","3203","The Bible in Contemporary Dystopian Literature","Twin Cities","Bible and Dystopia might seem like an unexpected pairing, yet contemporary dystopian novels frequently draw from biblical literature. Appearing in book titles, such as Parable of the Sower by Octavia E. Butler or serving as a foundation for societal structures in works like The Handmaid’s Tale by Margaret Atwood. Characters in the dystopian novels often parallel biblical figures, while allusions, biblical names, themes, and plotlines are also common. Dystopian literature's primary function is to invite critical reflection of existing social conditions and political systems, and in this course we will take part in these discussions. Join us as we journey from Genesis to Revelation, tracing the Bible's impact and reception history in dystopian literature.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Spring"
"CSCL","1101W","Literature","Twin Cities","What is literature? Today the term literature embraces all things printed, from fiction to nonfiction to advertising (yes, even your junk mail), from highbrow to low. This course will take a comparative view of the term literature as well as its ideas, practices, and forms. Given that literature historically has been tied to writing, to print, or to the book, what does it mean to study literature today—in an age when the book (and possibly print itself) may be vanishing?","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CSCL","1401W","Reading Literature: Theory and Practice","Twin Cities","How can we read/understand different ways that literature is meaningful? Emphasizes practice in reading a broad spectrum of world literature, literary theory.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CSCL","3111W","Close Reading","Twin Cities","History/theory of 'close reading' (i.e., the most intense encounter between reader and text) exemplified through critical texts. Students perform close readings of various texts.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CSCL","3117","Concepts of Literary Study","Twin Cities","This course begins by asking what this strange thing we call literature is, this six-thousand year old form of writing that brings into existence, each time a work is read, a world that did not previously exist. Sometimes that world is one in which we long to live, sometimes it is dark and foreboding, all death and despair; sometimes we seek it out as an escape from our daily lives, sometimes we enter it to be able to better understand those same lives, to come back to them refreshed, not just emotionally but intellectually -- for if literature does involve an immersion in the not-actually-existent, a departure from the everyday world, it does so by engaging us from within the world and in such a way that it is able to recast our everyday world and make us think it in new ways. And literature does all this with that most everyday of things, language. By attending to the ways authors and scholars mobilise language’s expressive, analytic and conceptual resources, with this course we shall learn various methods of critically appreciating and engaging complex literature, while gaining insight into how the practices of literary criticism and theory relate to, and help us understand, the world in which we live, how language shapes and forms that world and literature’s unique place and role in that world and its forming.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CSCL","3122","Movements and Manifestos","Twin Cities","Movements that emerge when a group of writers, filmmakers, artists, composers,
or musicians puts forth a new definition of literature, film, art, or music—and sets in motion new relations
(aesthetic and social) of word, image, sound. Manifestos—statements of position—that articulate or
counter such definitions. Movements created by scholars or critics after the fact. Focuses on one or two
related movements (e.g., romanticism and realism, surrealism and negritude, new wave and third cinema).","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CSCL","3131W","Colonial and Postcolonial Literatures and Theory: 1700 to the Present","Twin Cities","Readings in colonial/postcolonial literatures/theory from at least two world regions: Africa, the Americas, the Arab world, Asia, Europe, and the Pacific. Cultural/psychological dynamics and political economy of world under empire, decolonization, pre- vs. post-coloniality, globalization.","3","3","No","1","3","OPT - Student Option","-","Fall Odd, Spring Even Year"
"CSCL","3141","Classics of World Literature","Twin Cities","This will be an introduction to the concept of world literature – that is, literature from the Arab, Asian, African, Latin American and Oceanic worlds, not only the English-speaking countries of England and its former colonies.   And it will introduce students to some of the basic methods of comparative literary study such as close reading, genre analysis, etymology, stylistics, and translation.   We will discuss classic problems confronted within comparative literature such as collective authorship, the spirit of a people, the historical reconstruction of the past through the study of language, comparative cultural value, and the effects on language and learning prompted by technology (in the form, for example, of the “digital humanities”).   We will ask how comparative literature differs from other forms of literary study, but most of all concentrate on the low-tech (but not anti-technological) reading of literary texts – the student alone with a book in their hand -- while mastering as one’s own a handful of the enduring classics of world literature – books that have influenced many generations of thinkers and writers but that, oddly, are not typically covered in any college curriculum: not in English classes, humanities introductions, or general knowledge courses.   Our focus will be on books that happen both to be central to Western and world culture as part of the inheritance of its educated citizens, but also that happen to be lost at the same time, known about rather than known, invoked but not studied, quoted from but not generally understood.   We will be addressing books, in other words, that deeply inspired, but also shaped the thinking of many of the scientists, artists, and scholars of the past, and which were once common knowledge – the expected points of departure for all educated men and women.   In our own day, their influence has hardly waned – although not in their original form.  Modern film and television industries, for instance, rely heavily on their stories, even as philosophers and theologians cannot express themselves without drawing on their characters, languages, and plots.  Even the basic elements of advertising would be unthinkable without being able to draw on their repertoire of common stories, mythological settings, and cast of heroes.  In an age of radical departures and brave new worlds, we are interested here in invaluable traditions, which have not lost their relevance.  ","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall"
"CSCL","3334","Monsters, Robots, Cyborgs","Twin Cities","Historical/critical reading of figures (e.g., uncanny double, monstrous aberration, technological hybrid) in mythology, literature, and film, from classical epic to sci-fi, cyberpunk, and Web. (previously 3461)","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CSCL","3352W","Queer Aesthetics & Queer Critique","Twin Cities","Is there such a thing as global queer aesthetic? If so, how do various modes of representation and expression (novels, poetry, and sophisticated uses of language across film, television and video, digital media, pop music and punk) elaborate and enact queerness in particular material ways while also helping to create a larger, intermedial queer culture?
","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"DTCH","3635","Anne Frank: Perspectives on Her Life and Legacy","Twin Cities","This course examines Anne Frank’s iconic status as a Holocaust victim as well as an object of identification in the context of her ethnic heritage, the historical circumstances under which she came to the Netherlands, the particularity of her hiding situation, and the overwhelming success of her published journal. With a special emphasis on a broader understanding of antisemitism and racism then and now, this course takes the diary and its legacy in film, stage, and television adaptations as well as in memory culture as the basis for critical discussions.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"ENGL","1001W","Introduction to Literature: Poetry, Drama, Narrative","Twin Cities","How do literary authors create characters so real they feel like your best friends (or worst enemies) and plots so involving they make you laugh out loud (or cry)? In this class, you will learn their tools and techniques while reading literature from diverse genres, cultures, and historical periods. You will also explore how different critical lenses provide helpful perspective on literary works. Through discussion and writing, you will improve your communication skills and grow confident in sharing your interpretations of fiction, drama, and poetry.
 
Why read and study literature? Because deeply listening to and discussing the perspectives of peoples across space and time prepares you to be an active citizen. Because analyzing literature develops the critical thinking essential for college study and for meaningful employment afterward. Because a bit of wisdom conveyed through an artful sentence could change your life.
 
Credit will not be granted if credit has been received for: ENGL 1001V","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"ENGL","1003W","Women Write the World","Twin Cities","Concepts in literary studies. Poems, plays, short stories, novels, essays, letters by women from different parts of world. Focuses on lives, experiences, and literary expression of women, including basic concepts of women's studies.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"ENGL","1004","Banned Books","Twin Cities","Is reading dangerous? What do books ""do"" to readers that is insidious and must be stopped? In this course, we will begin with the three books currently banned most frequently in the US. While the class will touch on the long international history of book banning, in this course you will learn primarily about the recent history of book banning in the US. You will also learn concepts and terminology regarding literary studies. ""Why was this banned?"" is the question that will reverberate through every week of this course.","3","3","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"ENGL","1005","Reading Poetry","Twin Cities","Poems say interesting things in small spaces. How do they do it? The famous American poet Emily Dickinson wrote, “If I feel physically as if the top of my head were taken off, I know that is poetry.” While Dickinson isn’t describing poems that literally saw through her skull, she is describing the odd and wondrous ways in which poems affect us. While poems are literary texts, they are musical, visual, and, most often, short. White, brown, and black folks from all walks of life read and write them. Expect to read poems from a variety of perspectives and time periods that all say interesting things in their own, individual ways.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"ENGL","1006","Queer Literature","Twin Cities","Infamous author Oscar Wilde was imprisoned for gross indecency—one of the historical punishments for queerness. Are queer books and authors inherently indecent throughout literary history? Will they become more immoral or more accepted in our future? Today, society’s judgments and punishments begin online. Queer Literature will introduce you to not only controversial and groundbreaking texts from queer literary history, but also to contemporary texts, particularly those by nonbinary and trans authors encountering this generation’s online backlash in the name of decency and family.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"ENGL","1007","Introduction to Literature and Environment","Twin Cities","What connection do you share with other lifeforms as well as ecosystems in a time of climate change? Do you feel hope about our changing world? In this class you will consider your relationship to other species, as well as places and habitats, through analysis of historical and contemporary texts by Black, Brown, Indigenous and white artists and thinkers, some of whom also draw upon queer perspectives. Throughout the course you will practice literary language that helps you advocate for greater awareness of nonhuman life as well as for action and change. Along the way your instructor will help you understand literature as an essential and hopeful tool that people use to reshape our own cultures and preserve biodiversity in a complex future. Because environmental literature is part of the emerging field of the environmental humanities, texts vary and could include: climate fiction, ecocinema, ecopoetics, environmental nonfiction, and other emerging forms and genres.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"ENGL","1031","Introduction to the Short Story","Twin Cities","English literature boasts some of the most powerful, beautifully crafted short stories in world literature. In this class, we will use the short story as a path for understanding the craft of writing: how writers use language to present a vividly imagined world in a short number of pages. We will also examine the importance of genre: how, for example, a detective short story differs from a slice-of-life story. This is a lecture course, but it will involve substantial student discussion. ","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"ENGL","1051","Progress & Madness: Literature, Science & Technology","Twin Cities","This introductory, Liberal Education course explores the conflicts and conversations that occur at the frontiers of scientific thinking and technological innovation by examining select literary and cinematic texts from a variety of historical moments and points of view. We will consider the ambivalence and anxiety that attend progress via topics such as electricity, telegraphy, photography, the railroad, the cinema, Fordism, the atomic bomb, genetic engineering, and the Internet. We will also track the archetype of the mad scientist, whose dangerous knowledge and often-fatal hubris typically turn a tale ""cautionary."" Students engage in detailed analysis of and reflection on works of literature and film that address both historical and contemporary developments in science and technology. The course introduces students to a range of technologies that have had a measurable impact on contemporary society. Class discussion uses the representation of these innovations as case studies in how technologies develop through the application of individual and collective effort, as well as how society adopts or rejects these technologies. By considering a variety of points of view on these developments, students are exposed to multiple perspectives through which a technology can be understood, and they develop skills in evaluating conflicting views that provide a framework with which to evaluate new technology in the future.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"ENGL","1172","The Story of King Arthur","Twin Cities","Of all the stories familiar to the western world, few have exerted a greater influence on literary, pictorial, and musical productions than the legend of King Arthur and his Round Table. Although thousands of years have passed since the earliest versions of the story appeared, creative artists and their audiences continue to be fascinated by stories about Arthur, Merlin, Lancelot, Guinevere, Gawain, and Tristan. In this course, we will study adaptations of the legend in order to understand how literary writers and their readers remade the story to fit specific, historical circumstances. The course will pay particular attention to two related aspects of the legend. The first is the way that stories about Arthur emphasize the importance of personal integrity as a shaping force of history. The second is the relationship between personal responsibility and communal or civic order. We will see how these ideas are reshaped by writers in various times and places (ranging from early medieval Wales and England to twenty-first-century America). We will think comparatively about these times and places by paying close attention to the literary traditions and forms that are employed by writers who remake the story of Arthur.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"ENGL","1181W","Introduction to Shakespeare","Twin Cities","Four hundred years ago, Williams Shakespeare entertained, shocked, amused, and informed London audiences in a round wooden theater on the south bank of the Thames. Today, his plays are among the most read, performed, and adapted around the globe, in numerous languages, on stage, page, and screen. Why do so many people still seek out Shakespeare’s writing? How do his works continue to influence literature and culture? Through intensive study of representative plays and poems, you will become familiar with Shakespeare’s dramatic and literary techniques. You will learn about the social, historical, and cultural forces that influenced his writing. And you will build your own arguments as to Shakespeare’s meaning for audiences today. ","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"ENGL","1201W","Contemporary American Literature","Twin Cities","How have American writers responded to the Cold War, the social movements of the 1960s, the rise of digital culture, and the cultural and political instability that characterizes the nation today? In this course, you will read a variety of diverse American literature from the late 20th and the 21st century and discuss the works’ cultural, biographical, and historical contexts as well as their content. Have we entered or are we entering a new period of authoritarianism, instability, and change? In addition, does our present moment bear any resemblance to previous American time periods of authoritarianism, instability, and change that artists and writers have evoked? Considering these questions, you will identify and analyze literary elements including style, characterization, plot, and theme—and their capacity to evoke a powerful response from readers. This Writing Intensive class fulfills the Literature Core LE.","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"ENGL","1301W","The Margins Are the Center: US Literature and Social Injustice","Twin Cities","What is the relationship between narrative and institutions of power? How do social forces shape cultural production—and vice versa? This course emphasizes how social contexts such as systemic oppression, war, dispossession, and political movements emerge in and through American literature. We will focus on selected works by U.S. minoritarian writers and artists to explore how literature is constructed and consumed (and by whom?), paying close attention to both form and content as we engage with shifting concepts of nation, representation, empire, and categories of difference (e.g. race, ethnicity, gender, sexuality, class, ability). Through class lectures, discussion, and papers, you will develop textual analysis, writing, and communication skills in our examination of the ways authors and texts respond to the dominant systems they and their reader operate within. ","4","4","No","1","4","OPT - Student Option","-","Every Fall, Spring & Summer"
"ENGL","1401W","Legacies of Colonialism: Literatures in English of the Global South","Twin Cities","This writing-intensive course will introduce you to literature of geographical locations such as Africa, Asia, and the Caribbean with the aim of examining the global impacts of colonialism, particularly for formerly colonized nations. Through close readings of our texts, you will explore the ways writers have engaged with conditions of and experiences with imperialism, global capitalism, nationalism, and displacement. What role does literature play in upholding, resisting, and/or interrogating the legacies of colonial projects? How do these texts construct and respond to these legacies as entangled with concerns of their contemporary moment, such as shifting geopolitical relations? As we think about and discuss such questions, you will be supported with instruction on reading strategies, techniques for writing a paper, and relevant critical approaches.","4","4","No","1","4","OPT - Student Option","-","Every Fall & Spring"
"ENGL","1501W","Literature and Public Life","Twin Cities","This course explores how literary language builds the collective knowledge, shared reality, and civic relationships that make up public life. Literature's power in the public sphere goes far beyond the quiet, solitary experience of reading. We will investigate how telling stories, documenting events, imagining possibilities, communicating ideals, representing conflict, and even creating fictional characters contribute to public life. Through a wide variety of texts, we will reflect on the nature of public life and on how reading and writing build civic relationships and democratic potential. This course will also offer you two tracks for actively engaging in public life. A service-­learning option will give you the experience of building literacy, developing skills in communication and public media, and strengthening roles in work and family. This recommended learning framework can engage your role as a citizen, broaden the impact of your education, and help you explore potential professional interests. Alternatively, an individually designed public project will prompt you to consider the links between literary/media culture, personal action, and public life, and to make your own intervention in these fields. To succeed in all areas of this class you must display active engagement, independent thinking and motivation, and organization.","4","4","No","1","4","A-F - A-F Grade Basis","-","Every Fall & Spring"
"ENGL","1701","Modern Fiction","Twin Cities","In Modern Fiction, we will study a selection of novels and short stories by some of the most compelling and original writers of our time. We will read work by contemporary authors and classic modernists whose stylistic innovations influenced a generation. Because literature is a continuum in which the present responds to the past, we'll note evolutions and developments in the genre over time. We will identify and analyze such elements of fiction as theme, genre, structure, form, language, and context.","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"ENGL","1701H","Honors: Modern Fiction","Twin Cities","In Modern Fiction, we will study a selection of novels and short stories by some of the most compelling and original writers of our time. We will read work by contemporary authors and classic modernists whose stylistic innovations influenced a generation. Because literature is a continuum in which the present responds to the past, we'll note evolutions and developments in the genre over time. We will identify and analyze such elements of fiction as theme, genre, structure, form, language, and context. This course meets the Literature Core requirement.

prereq: Honors or instr consent","4","4","No","1","4","A-F - A-F Grade Basis","000571","Every Fall & Spring"
